id_produto,id_contrato,id_cliente,data_entrada,valor_fin,qtde_prest,data_entrada.1,data_final,provisao,fat,valor_garantia
10707,30560012,212806,42349,151605.74,63.0,42349,44607,0,7481,245000.0
10707,30450012,212849,42367,133864.13,62.0,42367,44607,0,6482,219000.0
10707,31260012,212857,42349,156163.26,65.0,42349,44669,45392,960378,245000.0
10707,31540015,212903,42349,132834.93,67.0,42349,44727,397,1005795,197000.0
10707,30570018,212911,42349,147130.53,63.0,42349,44607,41467,813483,268000.0
10707,30620007,227358,41407,145530.15,92.0,41407,44270,11334,4506,196000.0
10707,30660009,227480,41408,233478.85,92.0,41408,44270,0,645098,212000.0
10707,30590019,227501,42367,148756.86,62.0,42367,44607,5006094,11790,245000.0
10707,30580013,227625,42367,154770.28,62.0,42367,44607,44383,1627768,268000.0
10707,30780012,231550,42517,141682.32,59.0,42517,44669,0,1217036,247000.0
10707,30730015,231690,42367,157931.25,63.0,42367,44635,296104,1101647,268000.0
10707,31250017,232092,42367,157155.53,64.0,42367,44669,46452,1032845,247000.0
10707,30810000,232858,41407,191443.61,92.0,41407,44270,0,734226,173800.0
10707,30940001,233145,41473,233148.84,91.0,41473,44270,44148,80885,212000.0
10707,30820014,233226,42349,154574.85,64.0,42349,44635,0,845567,245000.0
10707,31270018,233650,42349,141532.8,65.0,42349,44669,11588721,821778,219000.0
10707,31180000,234605,41407,267422.03,92.0,41407,44270,0,1049783,245000.0
10707,30930014,234710,42367,151602.26,63.0,42367,44635,519414,12139,245000.0
10707,31910009,237124,41506,275436.77,92.0,41506,44392,2758,1481417,252500.0
10901,34740015,231746,42367,146578.09,72.0,42367,44910,47931,828199,201000.0
10901,32860005,252450,41544,240535.94,92.0,41544,44454,0,70598,219000.0
10901,32490003,253405,41572,280782.03,92.0,41572,44454,0,12847,276000.0
10901,32480008,255149,41568,275296.38,92.0,41568,44454,0,907351,252500.0
10901,32870000,256994,41571,273320.56,92.0,41571,44454,0,8200,248000.0
10901,32470002,257370,41544,280898.88,92.0,41544,44454,0,12922,251000.0
10901,34390006,257575,41717,239954.44,91.0,41717,44545,0,8200,219000.0
10901,33210004,262439,41659,162373.5,92.0,41659,44516,0,559623,150000.0
10901,33100012,264385,42367,170973.28,71.0,42367,44881,0,1214806,251000.0
10901,34400001,278327,41694,240054.21,92.0,41694,44545,30727,1072026,219000.0
10901,34990003,283754,41694,274126.01,92.0,41694,44578,73228,1202183,251000.0
10910,36800015,212750,42367,204419.77,77.0,42367,45061,70786,1416668,258000.0
10910,36870005,212822,41814,277576.32,92.0,41814,44697,8657,919248,252500.0
10910,36540013,231851,42367,201274.52,76.0,42367,45033,145894,1162357,258000.0
10910,38660008,237132,41907,283185.04,92.0,41907,44819,100936,96106,258000.0
10910,36240010,257338,42551,176135.52,68.0,42551,45000,65574,1096365,251000.0
10910,36850004,265640,41810,279019.01,92.0,41810,44697,4351,1056667,253000.0
10910,35040017,282618,42367,190006.43,74.0,42367,44972,0,1207775,251000.0
10910,36070009,286206,41758,224712.94,92.0,41758,44635,32539,9658,203000.0
10910,40330001,294489,42060,283042.6,92.0,42060,44942,56748,1140378,270000.0
10910,37250000,307270,41842,282899.98,92.0,41842,44697,44115,816153,258000.0
10910,37460013,308013,42349,211564.73,80.0,42349,45124,73445,949709,253000.0
10910,38160013,308480,42367,213723.96,80.0,42367,45153,7769,1109071,258000.0
10910,37310011,309109,42551,161014.25,71.0,42551,45092,61396,8545,217000.0
10910,37330012,309419,42349,210815.35,79.0,42349,45092,72606,18781,276000.0
10910,39230015,310182,42367,122395.53,83.0,42367,45246,44297,549774,163800.0
10910,37260014,310646,42367,204316.72,77.0,42367,45061,70751,1014684,258000.0
10910,38150000,322385,41920,186809.77,92.0,41920,44788,32252,11638,168900.0
10910,38170019,322938,42367,213854.14,80.0,42367,45153,75799,1078872,258000.0
10910,38200015,329487,42367,213746.74,80.0,42367,45153,75761,2576716,258000.0
10910,38680017,334561,42551,194736.4,74.0,42551,45184,154445,944338,252500.0
10910,38840006,335860,41925,278245.35,92.0,41925,44819,99671,1650158,252500.0
10910,40360008,336882,42023,283042.6,92.0,42023,44910,55172,173354,270000.0
10910,38770016,340340,42551,173664.43,74.0,42551,45184,67278,1442506,225000.0
10910,39470016,347981,42367,220163.28,83.0,42367,45246,25386,1035889,253000.0
10910,40020010,352764,42367,223894.65,84.0,42367,45275,81558,8025,253500.0
10910,39650014,352780,42349,194746.75,84.0,42349,45246,69594,669033,219900.0
10910,40200019,352993,42367,226433.93,84.0,42367,45275,82483,7761,260000.0
10910,40000010,353027,42349,229578.96,85.0,42349,45275,82595,80383,270000.0
10910,40030008,353299,42018,201367.45,92.0,42018,44910,39251,555501,182000.0
10910,40050009,353841,42018,154063.51,92.0,42018,44910,30031,756736,140000.0
10910,39880001,353868,42023,227398.5,92.0,42023,44910,88651,121222,205000.0
10910,39860019,354350,42367,226433.86,84.0,42367,45275,82483,1313362,260000.0
10910,40010007,355682,42019,283042.58,92.0,42019,44910,55172,778808,289000.0
10910,40040003,356972,42018,227686.1,92.0,42018,44910,88763,923108,207000.0
10928,37720007,292141,41962,120098.93,56.0,41962,44089,20054,246183621,23339.0
10928,36560006,292311,41877,102128.13,56.0,41877,44027,6395,218968691,20000.0
10928,36370002,292591,41922,127943.76,56.0,41922,44060,18694,240197005,80200.0
10928,37160001,293652,41845,28568.14,56.0,41845,43997,0,40698109,20600.0
10928,37060007,293903,41849,52035.49,56.0,41849,43966,0,58359171,45029.0
10928,39350002,295035,41996,95000.84,56.0,41996,44151,26082,1500000,72710.0
10928,37170007,296325,41864,70096.73,55.0,41864,43966,17557,7460584,35500.0
10928,37350005,296821,41904,48020.59,55.0,41904,43997,0,38705593,21500.0
10928,37450000,297526,41873,54593.59,64.0,41873,43997,0,2150000,16074.0
10928,37230000,299146,41864,78255.95,56.0,41864,43997,4084,14949722,30000.0
10928,36780006,300187,41899,65866.51,68.0,41899,43966,0,31404618,25600.0
10928,37240005,300241,41900,63194.21,55.0,41900,43966,0,12585648,24500.0
10928,36390003,300888,41808,37575.38,56.0,41808,43936,0,105651176,19600.0
10928,39480003,301876,42082,71579.96,48.0,42082,44151,747,106535461,14704.0
10928,37340000,302295,41899,61516.57,69.0,41899,43997,2233,119115218,25600.0
10928,38110008,308528,41934,33165.83,56.0,41934,44060,2423,68250297,11600.0
10928,38210002,311847,41996,71794.68,55.0,41996,44060,5245,72872979,10277.1
10928,39430006,323969,42080,84610.55,55.0,42080,44180,9713,159815191,25900.0
10928,39420000,330922,42080,32898.81,55.0,42080,44151,0,74238176,22040.0
10928,39400000,335517,41999,76275.98,56.0,41999,44151,5782,626638795,26000.0
10979,36800031,212750,42444,1455.64,88.0,42444,45061,1098,1416668,0.0
